DateKey,Date,Year,Month,MonthName,YearMonth
1,2022-01-01,2022,1,January,2022-01
2,2022-01-02,2022,1,January,2022-01
3,2022-01-03,2022,1,January,2022-01
4,2022-01-04,2022,1,January,2022-01
5,2022-01-05,2022,1,January,2022-01
6,2022-01-06,2022,1,January,2022-01
7,2022-01-07,2022,1,January,2022-01
8,2022-01-08,2022,1,January,2022-01
9,2022-01-09,2022,1,January,2022-01
10,2022-01-10,2022,1,January,2022-01
11,2022-01-11,2022,1,January,2022-01
12,2022-01-12,2022,1,January,2022-01
13,2022-01-13,2022,1,January,2022-01
14,2022-01-14,2022,1,January,2022-01
15,2022-01-15,2022,1,January,2022-01
16,2022-01-16,2022,1,January,2022-01
17,2022-01-17,2022,1,January,2022-01
18,2022-01-18,2022,1,January,2022-01
19,2022-01-19,2022,1,January,2022-01
20,2022-01-20,2022,1,January,2022-01
21,2022-01-21,2022,1,January,2022-01
22,2022-01-22,2022,1,January,2022-01
23,2022-01-23,2022,1,January,2022-01
24,2022-01-24,2022,1,January,2022-01
25,2022-01-25,2022,1,January,2022-01
26,2022-01-26,2022,1,January,2022-01
27,2022-01-27,2022,1,January,2022-01
28,2022-01-28,2022,1,January,2022-01
29,2022-01-29,2022,1,January,2022-01
30,2022-01-30,2022,1,January,2022-01
31,2022-01-31,2022,1,January,2022-01
32,2022-02-01,2022,2,February,2022-02
33,2022-02-02,2022,2,February,2022-02
34,2022-02-03,2022,2,February,2022-02
35,2022-02-04,2022,2,February,2022-02
36,2022-02-05,2022,2,February,2022-02
37,2022-02-06,2022,2,February,2022-02
38,2022-02-07,2022,2,February,2022-02
39,2022-02-08,2022,2,February,2022-02
40,2022-02-09,2022,2,February,2022-02
41,2022-02-10,2022,2,February,2022-02
42,2022-02-11,2022,2,February,2022-02
43,2022-02-12,2022,2,February,2022-02
44,2022-02-13,2022,2,February,2022-02
45,2022-02-14,2022,2,February,2022-02
46,2022-02-15,2022,2,February,2022-02
47,2022-02-16,2022,2,February,2022-02
48,2022-02-17,2022,2,February,2022-02
49,2022-02-18,2022,2,February,2022-02
50,2022-02-19,2022,2,February,2022-02
51,2022-02-20,2022,2,February,2022-02
52,2022-02-21,2022,2,February,2022-02
53,2022-02-22,2022,2,February,2022-02
54,2022-02-23,2022,2,February,2022-02
55,2022-02-24,2022,2,February,2022-02
56,2022-02-25,2022,2,February,2022-02
57,2022-02-26,2022,2,February,2022-02
58,2022-02-27,2022,2,February,2022-02
59,2022-02-28,2022,2,February,2022-02
60,2022-03-01,2022,3,March,2022-03
61,2022-03-02,2022,3,March,2022-03
62,2022-03-03,2022,3,March,2022-03
63,2022-03-04,2022,3,March,2022-03
64,2022-03-05,2022,3,March,2022-03
65,2022-03-06,2022,3,March,2022-03
66,2022-03-07,2022,3,March,2022-03
67,2022-03-08,2022,3,March,2022-03
68,2022-03-09,2022,3,March,2022-03
69,2022-03-10,2022,3,March,2022-03
70,2022-03-11,2022,3,March,2022-03
71,2022-03-12,2022,3,March,2022-03
72,2022-03-13,2022,3,March,2022-03
73,2022-03-14,2022,3,March,2022-03
74,2022-03-15,2022,3,March,2022-03
75,2022-03-16,2022,3,March,2022-03
76,2022-03-17,2022,3,March,2022-03
77,2022-03-18,2022,3,March,2022-03
78,2022-03-19,2022,3,March,2022-03
79,2022-03-20,2022,3,March,2022-03
80,2022-03-21,2022,3,March,2022-03
81,2022-03-22,2022,3,March,2022-03
82,2022-03-23,2022,3,March,2022-03
83,2022-03-24,2022,3,March,2022-03
84,2022-03-25,2022,3,March,2022-03
85,2022-03-26,2022,3,March,2022-03
86,2022-03-27,2022,3,March,2022-03
87,2022-03-28,2022,3,March,2022-03
88,2022-03-29,2022,3,March,2022-03
89,2022-03-30,2022,3,March,2022-03
90,2022-03-31,2022,3,March,2022-03
91,2022-04-01,2022,4,April,2022-04
92,2022-04-02,2022,4,April,2022-04
93,2022-04-03,2022,4,April,2022-04
94,2022-04-04,2022,4,April,2022-04
95,2022-04-05,2022,4,April,2022-04
96,2022-04-06,2022,4,April,2022-04
97,2022-04-07,2022,4,April,2022-04
98,2022-04-08,2022,4,April,2022-04
99,2022-04-09,2022,4,April,2022-04
100,2022-04-10,2022,4,April,2022-04
101,2022-04-11,2022,4,April,2022-04
102,2022-04-12,2022,4,April,2022-04
103,2022-04-13,2022,4,April,2022-04
104,2022-04-14,2022,4,April,2022-04
105,2022-04-15,2022,4,April,2022-04
106,2022-04-16,2022,4,April,2022-04
107,2022-04-17,2022,4,April,2022-04
108,2022-04-18,2022,4,April,2022-04
109,2022-04-19,2022,4,April,2022-04
110,2022-04-20,2022,4,April,2022-04
111,2022-04-21,2022,4,April,2022-04
112,2022-04-22,2022,4,April,2022-04
113,2022-04-23,2022,4,April,2022-04
114,2022-04-24,2022,4,April,2022-04
115,2022-04-25,2022,4,April,2022-04
116,2022-04-26,2022,4,April,2022-04
117,2022-04-27,2022,4,April,2022-04
118,2022-04-28,2022,4,April,2022-04
119,2022-04-29,2022,4,April,2022-04
120,2022-04-30,2022,4,April,2022-04
121,2022-05-01,2022,5,May,2022-05
122,2022-05-02,2022,5,May,2022-05
123,2022-05-03,2022,5,May,2022-05
124,2022-05-04,2022,5,May,2022-05
125,2022-05-05,2022,5,May,2022-05
126,2022-05-06,2022,5,May,2022-05
127,2022-05-07,2022,5,May,2022-05
128,2022-05-08,2022,5,May,2022-05
129,2022-05-09,2022,5,May,2022-05
130,2022-05-10,2022,5,May,2022-05
131,2022-05-11,2022,5,May,2022-05
132,2022-05-12,2022,5,May,2022-05
133,2022-05-13,2022,5,May,2022-05
134,2022-05-14,2022,5,May,2022-05
135,2022-05-15,2022,5,May,2022-05
136,2022-05-16,2022,5,May,2022-05
137,2022-05-17,2022,5,May,2022-05
138,2022-05-18,2022,5,May,2022-05
139,2022-05-19,2022,5,May,2022-05
140,2022-05-20,2022,5,May,2022-05
141,2022-05-21,2022,5,May,2022-05
142,2022-05-22,2022,5,May,2022-05
143,2022-05-23,2022,5,May,2022-05
144,2022-05-24,2022,5,May,2022-05
145,2022-05-25,2022,5,May,2022-05
146,2022-05-26,2022,5,May,2022-05
147,2022-05-27,2022,5,May,2022-05
148,2022-05-28,2022,5,May,2022-05
149,2022-05-29,2022,5,May,2022-05
150,2022-05-30,2022,5,May,2022-05
151,2022-05-31,2022,5,May,2022-05
152,2022-06-01,2022,6,June,2022-06
153,2022-06-02,2022,6,June,2022-06
154,2022-06-03,2022,6,June,2022-06
155,2022-06-04,2022,6,June,2022-06
156,2022-06-05,2022,6,June,2022-06
157,2022-06-06,2022,6,June,2022-06
158,2022-06-07,2022,6,June,2022-06
159,2022-06-08,2022,6,June,2022-06
160,2022-06-09,2022,6,June,2022-06
161,2022-06-10,2022,6,June,2022-06
162,2022-06-11,2022,6,June,2022-06
163,2022-06-12,2022,6,June,2022-06
164,2022-06-13,2022,6,June,2022-06
165,2022-06-14,2022,6,June,2022-06
166,2022-06-15,2022,6,June,2022-06
167,2022-06-16,2022,6,June,2022-06
168,2022-06-17,2022,6,June,2022-06
169,2022-06-18,2022,6,June,2022-06
170,2022-06-19,2022,6,June,2022-06
171,2022-06-20,2022,6,June,2022-06
172,2022-06-21,2022,6,June,2022-06
173,2022-06-22,2022,6,June,2022-06
174,2022-06-23,2022,6,June,2022-06
