DateKey,RetailerID,ChannelID,ProductID,ConsumerSegmentID,UnitsSold,BasePrice,PromoFlag,PromoDepthPct,NetRevenue
649,37,3,1,1,14,24.96,0,20,279.55
318,39,3,2,6,24,58.12,0,0,1394.88
684,19,4,18,4,22,94.39,0,15,1765.09
664,37,5,4,1,19,106.85,1,15,1725.63
442,17,3,13,1,23,74.01,0,15,1446.9
564,26,3,1,2,14,103.99,0,0,1455.86
952,22,4,4,4,22,22.53,0,25,371.74
699,8,2,2,1,20,65.54,0,25,983.1
113,33,3,4,4,16,33.34,1,20,426.75
2,2,4,16,6,22,78.27,1,0,1721.94
642,30,1,4,2,16,112.1,0,10,1614.24
220,20,4,25,1,21,20.72,0,10,391.61
855,18,5,9,4,25,86.82,0,15,1844.92
385,10,5,17,5,22,99.23,0,25,1637.3
1077,24,2,21,1,11,94.45,0,25,779.21
730,4,2,23,1,12,21.98,0,0,263.76
247,37,5,20,1,18,37.39,0,0,673.02
836,4,5,21,4,17,29.44,1,20,400.38
203,13,3,2,3,23,28.55,1,0,656.65
123,25,5,3,6,24,93.02,0,20,1785.98
401,13,2,23,1,22,62.48,0,15,1168.38
767,18,5,15,5,24,92.48,1,15,1886.59
294,24,2,7,5,16,56.08,0,25,672.96
280,2,1,4,2,15,31.7,1,25,356.62
884,33,5,12,3,21,91.85,0,25,1446.64
198,19,2,1,3,18,82.61,0,10,1338.28
982,9,4,17,4,23,31.3,0,20,575.92
752,28,3,4,2,19,112.44,1,15,1815.91
144,35,2,4,4,19,50.89,1,20,773.53
609,39,5,22,2,24,85.47,0,10,1846.15
187,10,5,23,6,14,23.2,0,10,292.32
464,1,1,25,3,21,64.3,0,15,1147.75
660,21,4,9,6,16,116.44,0,15,1583.58
764,9,2,21,4,19,108.65,1,25,1548.26
955,15,4,10,2,24,42.13,0,10,910.01
403,35,1,19,3,17,107.91,1,25,1375.85
147,5,3,19,3,23,49.31,1,15,964.01
864,22,4,15,1,16,105.22,0,10,1515.17
489,23,1,22,4,26,92.92,1,10,2174.33
929,7,2,17,1,15,55.21,0,0,828.15
551,23,3,7,3,16,111.08,0,10,1599.55
338,25,5,3,4,21,68.53,0,25,1079.35
872,27,1,5,4,12,51.77,1,0,621.24
641,6,5,16,6,19,47.97,0,10,820.29
473,34,3,23,5,23,113.91,1,0,2619.93
151,9,1,7,2,25,95.86,1,10,2156.85
263,33,1,16,5,20,54.99,0,20,879.84
144,6,3,9,5,26,45.42,0,25,885.69
346,37,2,1,3,22,41.16,0,25,679.14
624,31,1,3,6,19,44.45,1,0,844.55
1017,34,3,25,2,26,31.1,0,20,646.88
881,29,4,8,5,25,68.47,0,0,1711.75
2,14,5,18,5,25,24.11,1,0,602.75
897,36,1,24,4,18,21.15,0,15,323.59
254,36,4,24,3,19,81.81,0,0,1554.39
453,15,1,18,5,22,28.85,0,10,571.23
1061,8,2,24,2,24,104.52,1,15,2132.21
1015,26,3,19,1,24,30.67,0,15,625.67
9,36,1,7,1,25,74.27,0,0,1856.75
816,21,3,25,3,20,87.55,0,15,1488.35
208,28,1,20,1,20,42.92,0,25,643.8
404,4,2,6,4,15,108.83,0,15,1387.58
152,16,2,25,4,19,68.14,1,15,1100.46
54,22,4,11,2,16,51.53,0,10,742.03
628,12,2,5,6,22,110.11,1,25,1816.82
587,16,3,12,3,21,105.83,1,15,1889.07
104,40,2,1,3,20,90.96,1,10,1637.28
254,38,1,19,1,24,49.05,0,25,882.9
510,37,2,11,5,20,59.02,1,15,1003.34
99,29,3,15,5,12,88.97,0,0,1067.64
153,18,1,25,6,14,38.53,0,15,458.51
914,10,4,16,5,19,69.51,0,25,990.52
878,39,4,3,6,20,93.77,0,15,1594.09
338,18,4,11,2,17,85.77,0,25,1093.57
822,1,1,11,3,20,91.99,1,0,1839.8
957,39,4,10,1,19,109.19,0,15,1763.42
161,21,2,2,2,22,116.83,0,25,1927.69
801,1,1,20,4,19,65.84,0,10,1125.86
398,15,1,5,4,25,26.0,0,15,552.5
816,4,1,23,4,22,103.44,1,0,2275.68
401,20,5,23,6,20,31.8,0,10,572.4
640,10,3,25,6,22,41.94,0,15,784.28
1057,23,5,8,3,20,85.32,0,25,1279.8
688,34,5,13,4,13,94.57,0,20,983.53
460,33,5,15,6,22,89.46,0,10,1771.31
955,34,3,2,6,22,63.85,0,25,1053.53
470,39,5,12,5,31,111.81,1,10,3119.5
1046,10,4,24,6,16,103.22,1,15,1403.79
750,20,1,8,4,17,86.37,0,0,1468.29
38,1,1,21,2,21,64.11,0,0,1346.31
230,13,2,19,4,29,66.38,0,10,1732.52
563,1,4,25,5,17,37.6,0,20,511.36
438,5,3,23,4,18,97.97,0,15,1498.94
27,16,1,1,1,19,106.6,0,25,1519.05
226,15,5,8,5,23,102.73,0,15,2008.37
798,28,2,10,3,21,74.71,1,20,1255.13
284,31,2,13,4,17,103.79,0,25,1323.32
879,23,1,5,6,25,99.04,0,20,1980.8
960,17,4,22,2,22,103.24,0,15,1930.59
453,34,2,9,4,18,118.19,0,15,1808.31
1020,13,1,10,2,23,101.0,1,10,2090.7
816,14,4,14,1,18,47.07,0,20,677.81
659,11,1,24,3,19,102.09,0,0,1939.71
547,28,1,11,6,22,57.56,0,20,1013.06
1073,32,4,14,5,22,71.62,0,20,1260.51
17,35,4,3,5,12,99.64,0,25,896.76
158,31,4,21,3,13,51.67,0,25,503.78
477,17,1,16,1,15,22.61,0,10,305.24
1070,9,2,20,1,26,91.81,1,0,2387.06
518,10,3,17,4,19,110.22,0,15,1780.05
99,8,3,5,1,22,112.79,0,0,2481.38
1061,21,1,7,4,18,99.89,0,0,1798.02
280,13,1,17,2,21,113.51,1,0,2383.71
497,5,2,20,3,17,102.07,1,10,1561.67
302,6,4,22,2,20,23.01,0,10,414.18
181,30,1,11,2,16,54.97,1,0,879.52
607,31,5,12,2,25,53.61,1,15,1139.21
700,17,4,25,2,14,41.92,1,15,498.85
993,11,1,24,5,20,99.79,1,15,1696.43
191,20,5,2,1,17,72.01,0,10,1101.75
253,9,2,19,3,18,103.63,1,25,1399.0
981,2,5,5,3,24,80.13,1,15,1634.65
928,37,1,11,6,24,79.06,0,25,1423.08
128,1,3,23,2,24,58.41,1,0,1401.84
18,4,1,19,3,15,98.96,0,15,1261.74
566,36,3,7,4,29,88.31,1,0,2560.99
570,25,2,21,3,23,53.88,0,0,1239.24
686,3,2,22,2,24,119.36,0,20,2291.71
626,9,4,6,3,16,66.28,1,0,1060.48
854,22,4,11,1,20,51.66,0,0,1033.2
962,23,3,14,2,24,88.78,0,10,1917.65
155,12,3,4,5,25,42.28,0,0,1057.0
490,10,2,8,1,22,103.06,1,15,1927.22
785,34,5,9,3,15,88.04,0,10,1188.54
246,10,3,2,5,17,107.01,1,20,1455.34
1063,30,3,25,6,16,52.91,1,20,677.25
759,22,5,11,1,19,105.44,0,0,2003.36
538,6,4,20,6,17,70.09,0,25,893.65
921,2,4,22,4,17,25.92,0,20,352.51
408,30,3,7,1,15,39.42,0,20,473.04
525,2,4,4,5,20,41.76,0,20,668.16
828,32,4,24,6,19,96.8,0,15,1563.32
903,16,4,14,4,22,40.31,1,25,665.12
36,12,2,24,6,18,76.19,1,0,1371.42
685,1,1,1,3,15,85.25,0,0,1278.75
20,8,3,24,2,18,97.39,0,10,1577.72
321,13,3,12,6,19,98.39,0,15,1589.0
512,15,2,19,3,29,91.76,1,25,1995.78
400,8,1,5,2,22,41.32,0,10,818.14
654,10,1,8,2,14,74.35,0,25,780.68
972,5,2,11,5,21,49.02,0,20,823.54
